/* Querying */
Enter output directory name: EffNetB0_90ep-BS16_LR25e-4-LS5e-2-MA
/* Initializing */
Using device: cuda:0 (NVIDIA GeForce RTX 3050 Ti Laptop GPU)
/* Training */
Epoch 1/90, Training loss: 0.9766, Validation loss: 0.4687, Time: 25.80s, LR: 0.00025
Epoch 2/90, Training loss: 0.5182, Validation loss: 0.3863, Time: 21.73s, LR: 0.00025
Epoch 3/90, Training loss: 0.4253, Validation loss: 0.3752, Time: 22.16s, LR: 0.00025
Epoch 4/90, Training loss: 0.3952, Validation loss: 0.3361, Time: 21.62s, LR: 0.00025
Epoch 5/90, Training loss: 0.3659, Validation loss: 0.3187, Time: 21.31s, LR: 0.00025
NOTICE: Validation loss is worse than best: 0.3187. In a row: 1
Epoch 6/90, Training loss: 0.3558, Validation loss: 0.3303, Time: 21.73s, LR: 0.00025
Epoch 7/90, Training loss: 0.3460, Validation loss: 0.3128, Time: 21.63s, LR: 0.00025
NOTICE: Validation loss is worse than best: 0.3128. In a row: 1
Epoch 8/90, Training loss: 0.3261, Validation loss: 0.3252, Time: 20.83s, LR: 0.00025
Epoch 9/90, Training loss: 0.3181, Validation loss: 0.3028, Time: 20.75s, LR: 0.00025
NOTICE: Validation loss is worse than best: 0.3028. In a row: 1
Epoch 10/90, Training loss: 0.3309, Validation loss: 0.3117, Time: 20.68s, LR: 0.00025
Epoch 11/90, Training loss: 0.3139, Validation loss: 0.3021, Time: 20.51s, LR: 0.00025
Epoch 12/90, Training loss: 0.3123, Validation loss: 0.2993, Time: 20.24s, LR: 0.00025
Epoch 13/90, Training loss: 0.3083, Validation loss: 0.2941, Time: 20.13s, LR: 0.00025
Epoch 14/90, Training loss: 0.3077, Validation loss: 0.2897, Time: 20.25s, LR: 0.00025
NOTICE: Validation loss is worse than best: 0.2897. In a row: 1
Epoch 15/90, Training loss: 0.3001, Validation loss: 0.2967, Time: 20.60s, LR: 0.00025
NOTICE: Validation loss is worse than best: 0.2897. In a row: 2
Epoch 16/90, Training loss: 0.2973, Validation loss: 0.2899, Time: 20.39s, LR: 0.00025
NOTICE: Validation loss is worse than best: 0.2897. In a row: 3
Epoch 17/90, Training loss: 0.3110, Validation loss: 0.3056, Time: 19.90s, LR: 0.000125
NOTICE: Validation loss is worse than best: 0.2897. In a row: 4
Epoch 18/90, Training loss: 0.2899, Validation loss: 0.3088, Time: 20.68s, LR: 0.000125
Epoch 19/90, Training loss: 0.2843, Validation loss: 0.2890, Time: 20.09s, LR: 0.000125
NOTICE: Validation loss is worse than best: 0.2890. In a row: 1
Epoch 20/90, Training loss: 0.2807, Validation loss: 0.2907, Time: 20.26s, LR: 0.000125
Epoch 21/90, Training loss: 0.2840, Validation loss: 0.2809, Time: 20.45s, LR: 0.000125
NOTICE: Validation loss is worse than best: 0.2809. In a row: 1
Epoch 22/90, Training loss: 0.2781, Validation loss: 0.2816, Time: 21.29s, LR: 0.000125
NOTICE: Validation loss is worse than best: 0.2809. In a row: 2
Epoch 23/90, Training loss: 0.2737, Validation loss: 0.2908, Time: 20.48s, LR: 0.000125
NOTICE: Validation loss is worse than best: 0.2809. In a row: 3
Epoch 24/90, Training loss: 0.2735, Validation loss: 0.2879, Time: 19.89s, LR: 6.25e-05
NOTICE: Validation loss is worse than best: 0.2809. In a row: 4
Epoch 25/90, Training loss: 0.2765, Validation loss: 0.2868, Time: 19.80s, LR: 6.25e-05
NOTICE: Validation loss is worse than best: 0.2809. In a row: 5
Epoch 26/90, Training loss: 0.2732, Validation loss: 0.2849, Time: 19.75s, LR: 6.25e-05
NOTICE: Validation loss is worse than best: 0.2809. In a row: 6
Epoch 27/90, Training loss: 0.2726, Validation loss: 0.2896, Time: 19.85s, LR: 3.125e-05
NOTICE: Validation loss is worse than best: 0.2809. In a row: 7
Epoch 28/90, Training loss: 0.2734, Validation loss: 0.2831, Time: 19.75s, LR: 3.125e-05
NOTICE: Validation loss is worse than best: 0.2809. In a row: 8
Epoch 29/90, Training loss: 0.2709, Validation loss: 0.2862, Time: 20.04s, LR: 3.125e-05
NOTICE: Validation loss is worse than best: 0.2809. In a row: 9
Epoch 30/90, Training loss: 0.2718, Validation loss: 0.2854, Time: 19.73s, LR: 1.5625e-05
NOTICE: Validation loss is worse than best: 0.2809. In a row: 10
Epoch 31/90, Training loss: 0.2689, Validation loss: 0.2862, Time: 19.93s, LR: 1.5625e-05
NOTICE: Validation loss is worse than best: 0.2809. In a row: 11
